,Mission_ID,Mission_Date,Theater_of_Operations,Country,Aircraft_Series,Takeoff_Base,Takeoff_Location,Takeoff_Latitude,Takeoff_Longitude,Target_Country,Target_City,Target_Latitude,Target_Longitude,Altitude,High Explosives,High Explosives Type,High_Explosives_Weight_LBS,High_Explosives_Weight_Tons,Incendiary Devices,Incendiary Devices Type,Incendiary_Devices_Weight_LBS,Incendiary_Devices_Weight_Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation_Devices_Weight_LBS,Fragmentation_Devices_Weight_Tons,Total_Weight_LBS,Total_Weight_Tons
2773,2774,8/27/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,PAOLA,39.35,16.05,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
2774,2775,8/27/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,SIBARI,39.78,16.47,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
2775,2776,8/27/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CASERTA,41.07,14.33,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
3201,3202,8/28/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,AVERSA,40.97,16.18,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
3205,3206,8/28/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CASTROVILLARI,39.8,16.2,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
3283,3284,8/29/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,ANGITOLA RIVER,38.75,16.17,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
3285,3286,8/29/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,TORRE ANNUNZIATA,40.77,14.43,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
3729,3730,8/2/1944,MTO,USA,A36,PORETTA AIRFIELD,ITALY,42.55,9.484722,ITALY,FABA SABINA,42.2,12.72,,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
3818,3819,8/31/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,SAPRI,40.07,15.63,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
3819,3820,8/31/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CETRARO,39.5,15.93,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
4156,4157,9/1/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CAPUA,41.1,14.2,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
4405,4406,9/2/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,NICASTRO,38.97,16.3,,52.0,500 LB GP (GP-M43/M64),,13.0,,,,,,,,,,13.0
4408,4409,9/2/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,LAMEZIA,38.92,16.25,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
4409,4410,9/2/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,CATANZARO,38.9,16.62,,30.0,500 LB GP (GP-M43/M64),,7.5,,,,,,,,,,7.5
4732,4733,9/3/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,MARINA DI CATANZARO,40.83,16.23,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
4738,4739,9/3/1943,MTO,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,GREECE,GROTTAGLIE,40.53,17.42,,0.0,500 LB GP (GP-M43/M64),,,,,,0.0,,,,0.0,,36.0
5545,5546,8/3/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,PORTES LES VALENCE,44.67,5.25,,,,,,,,,0.0,,,,0.0,,158.25
5927,5928,9/7/1943,MTO,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,GREECE,MANDURIA,40.4,17.63,,0.0,500 LB GP (GP-M43/M64),,,,,,0.0,,,,0.0,,25.75
7658,7659,9/12/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SAPRI,40.07,15.63,,64.0,500 LB GP (GP-M43/M64),,16.0,,,,,,,,,,16.0
8511,8512,9/15/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,PESCOPAGANO,40.85,15.4,,46.0,500 LB GP (GP-M43/M64),,11.5,,,,,,,,,,11.5
8522,8523,9/15/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,NOCERA,40.73,14.62,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
8523,8524,9/15/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,CAVA,45.13,9.12,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
8524,8525,9/15/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,GRAZZANISE,41.1,14.12,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
8526,8527,9/15/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,NAPLES,40.67,14.0,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
8528,8529,9/15/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,TORRE ANNUNZIATA,40.77,14.43,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
8886,8887,9/16/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,BARCELLONA,38.13,15.22,,46.0,500 LB GP (GP-M43/M64),,11.5,,,,,,,,,,11.5
8897,8898,9/16/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,CAVA DI TIRRENI,40.7,14.7,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
8899,8900,9/16/1943,MTO,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,GREECE,POTENZA,40.63,15.8,,0.0,500 LB GP (GP-M43/M64),,,107.0,FLARES,,0.0,,,,0.0,,12.5
9197,9198,9/17/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,EBOLI,40.6,15.07,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
9199,9200,9/17/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SOLOFRA,40.82,14.83,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
9462,9463,9/18/1943,MTO,USA,A36,BARCELONA LANDING GROUND,SICILY,38.216681,15.233294,ITALY,COSENZA,39.27,16.25,,40.0,500 LB GP (GP-M43/M64),,10.0,,,,,,,,,,10.0
9464,9465,9/18/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SARNO,40.8,14.6,,38.0,500 LB GP (GP-M43/M64),,9.5,,,,,,,,,,9.5
9467,9468,9/18/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,AULETTA,40.57,15.43,,14.0,500 LB GP (GP-M43/M64),,3.5,,,,,,,,,,3.5
9470,9471,9/18/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,BATTIPAGLIA,40.62,14.97,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
9472,9473,9/18/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,BAIANO,40.42,14.62,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
9751,9752,9/19/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SAN ANDREA,42.8,10.13,,35.0,500 LB GP (GP-M43/M64),,8.75,,,,,,,,,,8.75
9754,9755,9/19/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,ANDRIA,41.22,16.25,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
9764,9765,9/19/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,POTENZA,40.63,15.8,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
9765,9766,9/19/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,CALABRITTO,40.78,15.22,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
9766,9767,9/19/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,TEORA,40.85,15.25,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
9776,9777,9/20/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SALERNO,40.67,14.73,,40.0,500 LB GP (GP-M43/M64),,10.0,,,,,,,,,,10.0
10035,10036,9/21/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,MONTELLA,40.83,15.02,,30.0,500 LB GP (GP-M43/M64),,7.5,,,,,,,,,,7.5
10333,10334,9/22/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,AVELLINO,40.9,14.78,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
10616,10617,9/22/1943,MTO,GREAT BRITAIN,HALI,OUDNA,TUNISIA,36.649608,10.121936,CRETE,CALATO,36.47,28.33,,,,,,,,,0.0,,,,0.0,,0.0
10624,10625,9/23/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SERINO,40.12,15.83,,38.0,500 LB GP (GP-M43/M64),,9.5,,,,,,,,,,9.5
10937,10938,9/24/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,BAROMISSI,40.73,14.75,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
11101,11102,9/25/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,SEZZE,41.48,13.08,,40.0,500 LB GP (GP-M43/M64),,10.0,,,,,,,,,,10.0
11102,11103,9/25/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,SANTA LUCIA,45.05,11.0,,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
11103,11104,9/25/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,NOCERA,40.73,14.62,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
11440,11441,9/27/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,SANTA SEVERA,42.02,11.95,,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
11743,11744,9/28/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,BENEVENTO,41.13,14.75,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
11744,11745,9/28/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,SAN SALVATORE,44.73,9.37,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
12039,12040,10/1/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,CAROVILLI,41.72,14.3,,40.0,500 LB GP (GP-M43/M64),,10.0,,,,,,,,,,10.0
12040,12041,10/1/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,MONDRAGONE,41.12,13.87,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
12042,12043,10/1/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,MAGLIANO,42.6,11.3,,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
12340,12341,10/2/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,VOLTURNO,41.02,13.92,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
12348,12349,10/2/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,FORMIA COAST ROAD,41.25,13.62,,,,,,,,,0.0,,,,0.0,,59.0
12349,12350,10/2/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,GRAZZANISE BRIDGES,41.1,14.12,,,,,,,,,0.0,,,,0.0,,50.0
12672,12673,10/4/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,41 00 N 015 00 E,41.0,15.0,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
12840,12841,8/10/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,KRALJEVO M/Y,43.72,20.7,,,,,,,,,0.0,,,,0.0,,109.75
13221,13222,10/6/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,42 00 N 013 00 E,42.0,13.0,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
14130,14131,10/10/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,TERRACINA COAST ROAD,41.27,13.25,,,,,,,,,0.0,,,,0.0,,96.5
14427,14428,10/12/1943,MTO,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,ITALY,CIVITAVECCHIA RR BRIDGES,43.18,16.62,,,,,,,,,0.0,,,,0.0,,85.0
14439,14440,10/13/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,PONTELATONE,40.0,13.0,,38.0,500 LB GP (GP-M43/M64),,9.5,,,,,,,,,,9.5
14445,14446,10/13/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,VOLTURNO,41.02,13.92,,14.0,500 LB GP (GP-M43/M64),,3.5,,,,,,,,,,3.5
14458,14459,10/13/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,PONTE SAN MARTINO,45.6,7.8,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
14469,14470,10/14/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,CANCELLO,40.98,14.4,,22.0,500 LB GP (GP-M43/M64),,5.5,,,,,,,,,,5.5
14470,14471,10/14/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,FORMICOLA,41.22,14.22,,14.0,500 LB GP (GP-M43/M64),,3.5,,,,,,,,,,3.5
14479,14480,10/14/1943,EAST AFRICA,GREAT BRITAIN,236/330 WINGS,93,OUDNA,TUNISIA,36.649608,,TALAMONE,1108.0,42.55,47.0,,,,,,,,,0.0,,,,0.0,
14736,14737,10/15/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,SPARANISE,41.2,14.12,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
14758,14759,10/16/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,ALIFE,41.32,14.28,,44.0,500 LB GP (GP-M43/M64),,11.0,,,,,,,,,,11.0
14763,14764,10/16/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,FRANCOLISE,41.2,14.03,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
14769,14770,10/16/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,ROME CASALE L/G,41.9,12.47,,,,,,,,,0.0,,,,0.0,,20.0
15013,15014,10/17/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,NOCELLETA,40.87,14.3,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
15077,15078,10/19/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,BAIA A LATINA,41.3,14.25,,48.0,500 LB GP (GP-M43/M64),,12.0,,,,,,,,,,12.0
15080,15081,10/19/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,ISERNIA,41.6,14.23,,32.0,500 LB GP (GP-M43/M64),,8.0,,,,,,,,,,8.0
15319,15320,10/20/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SAN GATA,38.08,16.53,,28.0,500 LB GP (GP-M43/M64),,7.0,,,,,,,,,,7.0
15331,15332,10/20/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,S CESARIO,40.28,18.15,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
15332,15333,10/20/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,ARCE,41.6,13.6,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
15338,15339,10/20/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,FURBARA A/D,41.0,12.0,,,,,,,,,0.0,,,,0.0,,69.5
15624,15625,10/21/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,CASSINE,44.73,8.53,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
15668,15669,10/22/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,ORBETELLO,42.45,11.22,,23.0,500 LB GP (GP-M43/M64),,5.75,,,,,,,,,,5.75
15671,15672,10/22/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,ROME,41.9,12.47,,11.0,500 LB GP (GP-M43/M64),,2.75,,,,,,,,,,2.75
15919,15920,10/22/1943,MTO,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,GREECE,PORTO CIVITANOVA,43.3,13.73,10.0,,,,,,,,0.0,,,,0.0,,65.0
15935,15936,10/23/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,COSENZA,39.27,16.25,,92.0,500 LB GP (GP-M43/M64),,23.0,,,,,,,,,,23.0
15940,15941,10/23/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,AQUINO,41.48,13.7,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
15943,15944,10/23/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,PATERNO,37.57,14.88,,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
15956,15957,10/23/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,GUIDONIAA A/D,41.98,12.73,35.0,,,,,,,,0.0,,,,0.0,,107.5
16235,16236,10/24/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,VENAFRO,41.48,14.03,,30.0,500 LB GP (GP-M43/M64),,7.5,,,,,,,,,,7.5
16244,16245,10/24/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,PISTOIA M/Y,43.87,10.93,90.0,,,,,,,,0.0,,,,0.0,,64.5
16560,16561,10/26/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,VAIANO,41.33,14.13,,48.0,500 LB GP (GP-M43/M64),,12.0,,,,,,,,,,12.0
16577,16578,10/26/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,PIETRAVAIRANO,41.33,14.17,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
16598,16599,10/27/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,GAETA,41.2,13.57,,48.0,500 LB GP (GP-M43/M64),,12.0,,,,,,,,,,12.0
16811,16812,10/28/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,PRATELLA,41.57,14.65,,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
16819,16820,10/29/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,RACCAMONFINA,41.28,13.98,,66.0,500 LB GP (GP-M43/M64),,16.5,,,,,,,,,,16.5
16825,16826,10/29/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,MINTURNO,41.25,13.75,,42.0,500 LB GP (GP-M43/M64),,10.5,,,,,,,,,,10.5
16839,16840,10/29/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,GROSSETTO M/Y,42.77,11.13,50.0,,,,,,,,0.0,,,,0.0,,58.0
16864,16865,10/30/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,MIGNANO,41.38,13.97,,48.0,500 LB GP (GP-M43/M64),,12.0,,,,,,,,,,12.0
16868,16869,10/30/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,GARIGLIANO,39.87,18.37,,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
16877,16878,10/30/1943,EAST AFRICA,GREAT BRITAIN,WELL,OUDNA,TUNISIA,36.649608,10.121936,,PERUGIA A/D,43.12,12.38,20.0,,,,,,,,0.0,,,,0.0,,34.5
17081,17082,3/3/1945,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,POLA NAVAL DOCKYARDS,44.87,13.85,,,,,,,,,0.0,,,,0.0,,87.375
17118,17119,11/1/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,PONTECORVO,41.45,13.67,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
17120,17121,11/1/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,45 00 N 012 00 E,45.0,12.0,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
17124,17125,11/1/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,41 20 N 013 00 E,41.33,13.0,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
17125,17126,11/1/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,41 20 N 013 20 E,41.33,13.33,,0.0,500 LB GP (GP-M43/M64),,0.0,,,,,,,,,,0.0
17127,17128,11/1/1943,EAST AFRICA,GREAT BRITAIN,LIB,OUDNA,TUNISIA,36.649608,10.121936,,VIA REGGIO,44.87,10.27,,,,,,,,,0.0,,,,0.0,,25.0
17160,17161,11/2/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,SORA,41.7,13.62,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
17165,17166,11/2/1943,MTO,USA,A36,SERRETELLA AIRFIELD,ITALY,40.608447,14.982760999999998,ITALY,SAN BIAGIO,43.33,12.3,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
