,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
85372,85752,5/20/1941,MTO,GREAT BRITAIN,WELL,,,,,GREECE,MOLAOI,36.8,22.85,,,,,,,,,0.24,,,,0.0,,0.865
85374,85754,5/20/1941,,GREAT BRITAIN,BLEN,HABBANIYA,IRAQ,,,IRAQ,RASHID,33.28,44.49,,,,,,,,,0.0,,,,0.0,,2.75
85381,85762,5/22/1941,,GREAT BRITAIN,BLEN,HABBANIYA,IRAQ,,,IRAQ,CASSELS POST,33.38,44.5,,,,,,,,,0.0,,,,0.0,,0.0
85508,85893,4/27/1944,CBI,USA,P51,,,,,BURMA,SITAPUR,25.41666667,97.41666667,25.0,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
85514,85899,4/27/1944,PTO,USA,P47,,,,,NEW GUINEA,MANGEN,-4.583333333,145.55,50.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
85515,85900,4/27/1944,CBI,USA,A36,,,,,BURMA,TATBUM,25.61666667,96.85,25.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
85522,85907,4/14/1945,PTO,USA,B24,,,,,CELEBES ISLANDS,PREPARE,-3.95,119.9,60.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
85543,85928,4/15/1945,PTO,USA,P38,,,,,PHILIPPINE ISLANDS,CAMP JOHN HAY,16.4,120.63333329999999,40.0,24.0,1000 LB GP (GP-M44/M65),,12.0,,,,,,,,,,12.0
85545,85930,4/15/1945,CBI,USA,B25,,,,,BURMA,PINNYAUNG,19.11666667,94.66666667,3.0,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
85561,85946,4/15/1945,CBI,USA,P51,,,,,CHINA,HSINCHING,30.43333333,103.85,20.0,16.0,250 LB GP (GP-M57),,2.0,,,,,,,,,,2.0
85565,85950,4/15/1945,CBI,USA,B25,,,,,BURMA,SHWEMYO,20.05,96.23333333,3.0,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
85576,85961,4/15/1945,PTO,USA,P51,,,,,PHILIPPINE ISLANDS,PAPATAHAN,14.33333333,121.58333329999999,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
85594,85979,4/15/1945,PTO,USA,F06,,,,,,PA AUNGWE,17.766666600000004,96.68333333,1.0,8.0,500 LB GP (GP-M43/M64),,2.0,6.0,660 LB AUX FUEL TANK INCENDIARY,,2.0,,,,,,4.0
85623,86008,11/3/1944,CBI,USA,P51,,,,,CHINA,SAM TONG,19.9,110.61666670000001,1.0,0.0,100 LB GP (GP-M30),,,,100 LB INCENDIARY,,,,,,,,
85626,86011,11/3/1944,CBI,USA,P47,,,,,BURMA,NAMKHAM,24.171254,96.346992,,0.0,250 LB GP (GP-M57),,,,,,,,,,,,
85696,86081,11/3/1944,ETO,,B26,,,,,GERMANY,MORSCHEID,49.73,6.75,120.0,,,,55.0,,,,,,,,,,55.0
85724,86110,5/25/1941,,GREAT BRITAIN,BLEN,HABBANIYA,IRAQ,,,IRAQ,MOSUL,36.31,43.15,,,,,,,,,0.0,,,,0.0,,0.0
85728,86114,5/26/1941,MTO,GREAT BRITAIN,WELL,,,,,CRETE,MOUTH OF RIVER TAVRONIITIS,35.52,23.85,45.0,,,,,,,,0.0,,,,0.0,,0.75
85765,86151,5/27/1941,MTO,GREAT BRITAIN,WELL,,,,,GREECE,SCARPANTO,35.62,27.17,,,,,,,,,0.0,,,,0.0,,0.0
85766,86152,5/27/1941,,GREAT BRITAIN,BLEN,HABBANIYA,IRAQ,,,IRAQ,KIRKUK,35.5,44.3,,,,,,,,,0.0,,,,0.0,,0.0
85783,86171,5/28/1941,,GREAT BRITAIN,AUDA,HABBANIYA,IRAQ,,,IRAQ,"""RAMADI, SE OF FALLUJAH/ FALLUJAH PLAIN""",33.42,43.3,,,,,,,,,0.0,,,,0.0,,0.0
85786,86174,5/29/1941,MTO,GREAT BRITAIN,WELL,,,,,GREECE,EFIALTI AD,35.58,27.13,,,,,,,,,0.0,,,,0.0,,0.0
85790,86178,5/29/1941,,GREAT BRITAIN,AUDA,HABBANIYA,IRAQ,,,IRAQ,"""ABU GHARAIS REGULATOR / EXPERIMENTAL FARM  - KHAN NUQTA/BAGHDAD, KHADIMAIN RR STATION""",33.28,43.99,,,,,,,,,0.0,,,,0.0,,0.0
85803,86193,5/30/1941,MTO,GREAT BRITAIN,WELL,,,,,CRETE,VLAKHERONITISSA,35.51,23.83,,,,,,,,,0.4,,,,0.0,,3.775
85805,86195,5/30/1941,,GREAT BRITAIN,BLEN,HABBANIYA,IRAQ,,,IRAQ,"""KHADIMAIN N OF,/RASHID CAMP""",33.3,44.37,,,,,,,,,0.0,,,,0.0,,5.0
85860,86250,4/27/1944,ETO,USA,GB17,,,,,FRANCE,MARGUENNEVILLE,49.99,1.79,196.0,,,,52.0,,,,,,,,,,52.0
85871,86261,4/27/1944,ETO,,B17,,,,,FRANCE,MESNIL AU VAL,49.61,-1.53,220.0,,,,84.0,,,,,,,,,,84.0
85931,86321,4/15/1945,ETO,USA,B26,,,,,GERMANY,DONAUESCHINGEN,47.97,8.48,8.0,,,,4.0,,,,,,,,,,4.0
86090,86480,11/4/1944,ETO,USA,B24,,,,,AUSTRIA,STRASS,46.73,15.63,,,,,,,,,2.0,,,,,,2.0
86091,86481,11/4/1944,ETO,USA,B24,,,,,AUSTRIA,47 00 N 011 00 E,47.0,11.0,,,,,,,,,2.0,,,,,,2.0
86220,86612,4/27/1944,ETO,,B17,,,,,FRANCE,FLOTTEMANVILLE HAGUE,49.62,-1.72,200.0,,,,84.0,,,,,,,,,,84.0
86613,87005,4/27/1944,ETO,,B24,,,,,FRANCE,CONTEVILLE,50.18,2.07,,,,,24.0,,,,,,,,,,24.0
86666,87058,4/27/1944,PTO,USA,P47,,,,,NEW GUINEA,FARUK RIVER,-4.583333333,145.5333333,40.0,,100 LB GP (GP-M30),,,,,,,,,,,,
86783,87175,4/15/1945,ETO,,B17,,,,,FRANCE,POINTE DE GRAVE,45.58,-1.08,,,,,24.0,,,,,,,,,,24.0
86798,87190,4/15/1945,ETO,,B17,,,,,FRANCE,POINT DE LA COUBRE,45.7,-1.25,,,,,24.0,,,,,,,,,,24.0
86896,87288,11/4/1944,ETO,,B26,,,,,BELGIUM,EUPEN,50.63,6.05,125.0,,,,2.0,,,,,,,,,,2.0
86928,87320,6/11/1941,ETO,GREAT BRITAIN,HAMP,,,,,GERMANY,HORNUM,54.8,8.3,,,,,,,,,,,,,,,
86947,87339,6/11/1941,ETO,GREAT BRITAIN,HAMP,,,,,GERMANY,WIPPERFURTH,51.12,7.42,,,,,1.0,,,,,,,,,,1.0
87015,87409,4/28/1944,PTO,USA,B24,,,,,NEW GUINEA,EFMAN,-0.916666667,130.5666667,80.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
87019,87413,4/28/1944,PTO,USA,B24,,,,,BISMARK ARCHIPELAGO,NAMATANAI,-3.666666667,152.5,,4.0,2000 LB GP (GP-M34/M66),,4.0,,,,,,,,,,4.0
87034,87428,4/28/1944,ETO,USA,B17,,,,,FRANCE,SOTTEVAST,49.53,-1.6,222.0,,,,42.0,,,,,,,,,,42.0
87092,87486,4/28/1944,MTO,USA,A20,,,,,ITALY,46 40 N 011 20 E,46.67,11.33,95.0,,,,1.0,,,,,,,,9.0,,10.0
87193,87587,4/15/1945,ETO,,B26,,,,,FRANCE,JAFFE,45.66,-1.02,,,,,36.0,,,,,,,,,,36.0
87227,87621,11/4/1944,ETO,,B17,,,,,AUSTRIA,LIENZ,47.08,12.77,,,,,2.0,,,,,,,,,,2.0
87239,87633,11/4/1944,ETO,,B24,,,,,AUSTRIA,WORGL,47.5,12.08,,,,,2.0,,,,,,,,,,2.0
87254,87648,11/4/1944,MTO,USA,B26,,,,,ITALY,MOIT,45.85,10.92,108.0,,,,6.0,,,,,,,,,,6.0
87265,87659,11/4/1944,MTO,USA,B26,,,,,ITALY,CASSANO D ADDA,45.52,9.53,91.0,,,,,,,,,,,,4.0,,4.0
87275,87669,11/4/1944,MTO,USA,B25,,,,,ITALY,PONTE SAN PIETRO,45.7,9.6,,,,,2.0,,,,,,,,,,2.0
87277,87671,11/4/1944,MTO,USA,B17,,,,,ITALY,PORTO GRUARO,45.7,12.87,,,,,3.0,,,,,,,,,,3.0
87287,87681,11/4/1944,MTO,,B26,,,,,ITALY,CASSANO D ADDA,45.52,9.38,100.0,,,,34.0,,,,,,,,,,34.0
87299,87693,11/4/1944,MTO,,B25,,,,,ITALY,VILLAFRANCA D ASTI,44.92,8.03,90.0,,,,34.0,,,,,,,,,,34.0
87303,87697,11/4/1944,MTO,,B25,,,,,ITALY,MONTEBELLO,44.83,9.1,,,,,28.0,,,,,,,,,,28.0
87370,87764,6/12/1941,,GREAT BRITAIN,BLEN,,,,,SYRIA,KISWE,33.36,36.24,,,,,,,,,0.0,,,,0.0,,0.0
87443,87837,4/28/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,SAN SAFANO PORT,42.48,11.25,,,,,,,,,0.0,,,,0.0,,4.5
87457,87851,4/28/1944,PTO,USA,B24,,,,,,34 56 N 113 3,34.93333333,113.55,115.0,,100 LB GP (GP-M30),,8.0,,,,,,,,,,8.0
87498,87892,4/29/1944,CBI,USA,B25,,,,,BURMA,HPAUNGZEIZ,17.7,95.43333333,3.0,16.0,1000 LB SAP(SA-M59),,8.0,,,,,,,,,,8.0
87501,87895,4/29/1944,CBI,USA,P39,,,,,BURMA,PYINGAING TAUNG,23.15,94.75,25.0,16.0,250 LB GP (GP-M57),,2.0,,,,,,,,,,2.0
87506,87900,4/29/1944,PTO,USA,P47,,,,,NEW GUINEA,BANARA,-4.4,145.1166667,70.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
87516,87910,4/15/1945,ETO,,B26,,,,,GERMANY,TUTTLINGEN,47.98,8.82,80.0,,,,10.0,,,,,,,,,,10.0
87518,87912,4/15/1945,ETO,,B26,,,,,GERMANY,STOCKACH,47.85,9.02,8.0,,,,12.0,,,,,,,,,,12.0
87604,87998,11/4/1944,MTO,,B25,,,,,ITALY,ORIO LITTA,45.13,9.6,,,,,27.0,,,,,,,,,,27.0
87651,88045,11/5/1944,PTO,USA,P38,,,,,CELEBES ISLANDS,BINTAOENA,0.8833333329999999,123.55,30.0,8.0,500 LB GP (GP-M43/M64),,2.0,2.0,1000 LB AUX FUEL TANK INCENDIARY,,1.0,,,,,,3.0
87662,88056,11/5/1944,PTO,USA,B29,,,,,SUMATRA,PANGKALENBRANDE,4.033333333,98.26666667,199.0,4.0,1000 LB GP (GP-M44/M65),,2.0,,,,,,,,,,2.0
87665,88059,11/5/1944,PTO,USA,P38,,,,,CELEBES ISLANDS,BELANG BAY,0.95,125.8,,4.0,500 LB GP (GP-M43/M64),,1.0,4.0,500 LB AUX FUEL TANK INCENDIARY,,1.0,,,,,,2.0
87788,88183,6/15/1941,,GREAT BRITAIN,SWORD,,,,,SYRIA,EASTERN MEDITERRANEAN,37.75,1.75,,,,,,,,,0.0,,,,0.0,,0.0
87808,88203,4/29/1944,PTO,USA,P47,,,,,NEW GUINEA,BOGIA BAY,-4.283333333,144.9666667,70.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
88154,88549,6/16/1941,ETO,GREAT BRITAIN,HAMP,,,,,BELGIUM,TIRLEMONT,50.8,4.93,,,,,,,,,,,,,,,
88159,88554,6/16/1941,,GREAT BRITAIN,BLEN,,,,,SYRIA,QUNELTRA [QUNEITRA],33.13,35.82,,,,,,,,,0.0,,,,0.0,,0.0
88161,88556,6/16/1941,,GREAT BRITAIN,BLEN,,,,,SYRIA,SW OF TRIPOLI,35.5,35.75,,,,,,,,,0.0,,,,0.0,,0.0
88303,88699,4/29/1944,ETO,GREAT BRITAIN,LGT,,,,,FRANCE,ST MEDARD EN JALLES,44.9,-0.72,,,,,1.0,,,,,,,,,,1.0
88319,88715,11/5/1944,ETO,,B17,,,,,GERMANY,FRANKENTHAL,49.55,8.32,,,,,3.0,,,,,,,,,,3.0
88435,88831,4/15/1945,MTO,,B25,,,,,ITALY,VILLA FONTANA,44.48,11.62,115.0,,,,,,,,,,,,12.0,,12.0
88571,88968,6/19/1941,,GREAT BRITAIN,BLEN,,,,,SYRIA,QUATAANA [QATAA],35.17,40.37,35.0,5.0,250 LB GP (GP-M57),,,,,,0.0,,,,0.0,,0.625
88586,88983,6/20/1941,,GREAT BRITAIN,BLEN,,,,,LEBANON,JEZZINE,33.54,35.58,50.0,6.0,250 LB GP (GP-M57),,,,,,0.0,,,,0.0,,0.75
88609,89006,4/29/1944,MTO,USA,B24,,,,,YUGOSLAVIA,DRNIS,43.75,16.35,225.0,,,,72.0,,,,,,,,,,72.0
88617,89014,4/29/1944,MTO,USA,B25,,,,,ITALY,ATTIGLIANO,42.52,12.28,83.0,,,,61.0,,,,,,,,,,61.0
88638,89035,4/29/1944,PTO,USA,A20,,,,,NEW GUINEA,MAROI,-4.083333333,143.0,1.0,,100 LB GP (GP-M30),,6.0,,,,,,,,,,6.0
88641,89038,4/29/1944,PTO,USA,P39,,,,,SOLOMON ISLANDS,MAMAGATA,-6.783333333,155.43333330000002,20.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
88643,89040,4/29/1944,PTO,USA,B25,,,,,NEW GUINEA,CAPE VERKAM,-1.8333333330000001,138.66666669999998,2.0,,,,,,,,,86.95652174,69 LB FRAG (3X23 CLUSTERS),,3.0,,3.0
88644,89041,6/29/1945,PTO,USA,A20,,,,,BISMARK ARCHIPELAGO,YESCHAN,-4.25,142.66666669999998,1.0,,100 LB GP (GP-M30),,7.0,,,,,,,,,,7.0
88671,89068,4/30/1944,PTO,USA,P47,,,,,NEW GUINEA,KOKUMBA,-4.208333333,145.083333,70.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
88672,89069,4/30/1944,PTO,USA,P47,,,,,PHILIPPINE ISLANDS,SAPANG,15.75,120.5,70.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
88751,89148,11/5/1944,ETO,,B17,,,,,GERMANY,OBERWESEL,50.12,7.72,,,,,3.0,,,,,,,,,,3.0
88778,89175,11/5/1944,MTO,USA,B24,,,,,HUNGARY,46 40 N 017 40 E,46.67,17.67,,,,,2.0,,,,,,,,,,2.0
88779,89176,11/5/1944,MTO,USA,B17,,,,,YUGOSLAVIA,46 00 N 016 00 E,46.0,16.0,,,,,3.0,,,,,,,,,,3.0
88795,89192,11/5/1944,MTO,USA,B25,,,,,ITALY,CAMERI,45.5,8.65,,,,,3.0,,,,,,,,,,3.0
88797,89194,11/5/1944,MTO,USA,B26,,,,,ITALY,CISMON,45.93,11.7,,,,,3.0,,,,,,,,,,3.0
88813,89210,4/15/1945,MTO,,A26,,,,,ITALY,ZOCCA,44.37,10.98,10.0,,,,2.0,,,,,,,,,,2.0
88847,89244,4/15/1945,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,VILLACH N M/Y,46.6,13.83,,,,,,,,,0.0,,,,0.0,,6.5
88852,89249,4/15/1945,PTO,USA,A20,,,,,PHILIPPINE ISLANDS,SAN FRANCISCO,12.75,123.91666670000001,1.0,,250 LB GP (GP-M57),,3.0,,20 LB INCENDIARY,,,,,,,,3.0
88853,89250,4/15/1945,PTO,USA,A20,,,,,PHILIPPINE ISLANDS,MT HOMAHAN,12.2,123.9,1.0,,250 LB GP (GP-M57),,4.0,,20 LB INCENDIARY,,,,,,,,4.0
88897,89294,4/16/1945,PTO,USA,P38,,,,,PHILIPPINE ISLANDS,POLLOC,7.333333333,124.25,1.0,100.0,,,,20.0,1000 LB AUX FUEL TANK INCENDIARY,,10.0,,,,,,10.0
88921,89318,6/20/1941,ETO,GREAT BRITAIN,WELL,,,,,GERMANY,WESTERHAUSEN,52.07,11.67,,,,,2.0,,,,,,,,,,2.0
88956,89356,6/21/1941,ETO,GREAT BRITAIN,BLEN,,,,,FRANCE,DESVRES,50.67,1.83,,,,,3.0,,,,,,,,,,3.0
89046,89446,4/30/1944,ETO,,B17,,,,,FRANCE,CLERMONT,49.38,2.42,156.0,,,,50.0,,,,,,,,,,50.0
89056,89456,4/30/1944,ETO,,B26,,,,,FRANCE,LIVOSSART,50.53,2.3,120.0,,,,76.0,,,,,,,,,,76.0
89084,89484,4/30/1944,ETO,,B26,,,,,FRANCE,DRIONVILLE,50.67,2.05,12.0,,,,74.0,,,,,,,,,,74.0
89085,89485,4/30/1944,ETO,,B26,,,,,FRANCE,LES GRANDS BOIS,48.12,5.23,12.0,,,,76.0,,,,,,,,,,76.0
89102,89502,11/5/1944,MTO,USA,B24,,,,,YUGOSLAVIA,46 40 N 003 00 E,46.67,3.0,,,,,2.0,,,,,,,,,,2.0
89144,89544,11/5/1944,PTO,USA,P38,,,,,CELEBES ISLANDS,HOENITOTOE,-3.233333333,128.4333333,50.0,,,,,24.0,1000 LB AUX FUEL TANK INCENDIARY,,12.0,,,,,,12.0
89149,89549,11/5/1944,PTO,USA,B25,,,,,PHILIPPINE ISLANDS,MAILAG,8.0,125.08333329999999,1.0,,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
89151,89551,11/6/1944,CBI,USA,B25,,,,,BURMA,BAMO,18.95,96.68333333,,80.0,100 LB GP (GP-M30),,4.0,,,,,,,,,,4.0
89154,89554,11/6/1944,PTO,USA,B24,,,,,VOLCANO AND BONIN ISLANDS,ANI JIMA,27.11666667,142.2,88.0,52.0,500 LB GP (GP-M43/M64),,13.0,,,,,,,,,,13.0
89173,89573,11/6/1944,PTO,USA,B24,,,,,CELEBES ISLANDS,BANGGAI ISLAND,-1.6,123.55,50.0,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
89202,89602,4/16/1945,PTO,USA,P38,,,,,PHILIPPINE ISLANDS,SANTOL BAY,14.25,122.33333329999999,50.0,24.0,1000 LB GP (GP-M44/M65),,12.0,,,,,,,,,,12.0
89207,89607,4/16/1945,CBI,USA,B25,,,,,CHINA,POYATU,22.56666667,114.9,1.0,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
89214,89614,4/16/1945,CBI,USA,B25,,,,,BURMA,PTNLAUNG,20.11666667,96.78333333,74.0,16.0,250 LB GP (GP-M57),,2.0,,,,,,,,,,2.0
89215,89615,4/16/1945,CBI,USA,B25,,,,,BURMA,PYINYAUNG,20.78333333,96.4,3.0,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
89221,89621,4/16/1945,PTO,USA,P51,,,,,PHILIPPINE ISLANDS,MT MATABA,12.5,123.25,1.0,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
89226,89626,4/16/1945,PTO,USA,B29,,,,,JAPAN,ASA,34.05,131.1666667,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
89238,89638,4/16/1945,CBI,USA,P51,,,,,CHINA,MENGKAN,22.58333333,101.58333329999999,60.0,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
89240,89640,4/16/1945,CBI,USA,P51,,,,,CHINA,HSINJENHSIEN,24.35,110.01666670000002,1.0,8.0,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
89244,89644,4/16/1945,CBI,USA,P47,,,,,BURMA,NAMMUN,25.01666667,96.35,20.0,6.153846154,325 LB DC (DB-MK 17/47),,1.0,,,,,,,,,,1.0
89272,89672,4/16/1945,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,ENEMY TROOP CONCENTRATIONS AT CASALECCHIA,44.47,11.3,80.0,,,,,,,,0.0,,,,0.0,,226.75
89283,89683,4/16/1945,ETO,GREAT BRITAIN,HVY,,,,,GERMANY,GABLINGEN,48.45,10.87,,,,,,,,,3.0,,,,,,3.0
89372,89772,6/23/1941,ETO,GREAT BRITAIN,HAMP,,,,,GERMANY,HUNTLOSEN,52.98,8.27,,,,,,,,,,,,,,,
89426,89826,4/30/1944,MTO,,B17,,,,,ITALY,VARESE,45.82,8.83,228.0,,,,99.0,,,,,,,,,,99.0
89443,89843,4/30/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,MONFALCON SHIPBUILDING YARD,45.8,13.55,,,,,,,,,0.0,,,,0.0,,9.0
89449,89849,4/30/1944,PTO,USA,P47,,,,,NEW GUINEA,HATZFELDT,-4.383333333,145.2,50.0,,250 LB GP (GP-M57),,3.0,,,,,,,,,,1.0
89451,89851,4/30/1944,PTO,USA,P39,,,,,SOLOMON ISLANDS,IVITURI,-5.933333332999999,155.1,15.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
89456,89856,5/1/1944,PTO,USA,B24,,,,,CAROLINE ISLANDS,EAURIPIK ISLAND,6.7,143.1,140.0,44.0,500 LB GP (GP-M43/M64),,11.0,,,,,,,,,,11.0
89472,89872,5/1/1944,CBI,USA,P38,,,,,BURMA,MODIN BYIN,20.38333333,92.95,20.0,8.0,1000 LB GP (GP-M44/M65),,4.0,,,,,,,,,,4.0
89476,89876,5/1/1944,PTO,USA,P47,,,,,NEW GUINEA,OLD CONDOR,-4.083333333,144.91666669999998,70.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
89478,89878,5/1/1944,PTO,USA,P47,,,,,NEW GUINEA,SAWAIA RIVER,-4.983333333,145.2166667,70.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
89495,89895,5/1/1944,PTO,USA,P40,,,,,FRENCH INDO CHINA,GONG MO,21.55,107.01666670000002,15.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
89498,89898,5/1/1944,PTO,USA,P40,,,,,FRENCH INDO CHINA,DINH CAU,10.38333333,105.73333329999998,,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
89532,89932,11/6/1944,ETO,USA,B17,,,,,AUSTRIA,DEUTSCH WAGRAM,48.3,16.57,,,,,6.0,,,,,,,,,,6.0
89544,89944,11/6/1944,ETO,USA,B24,,,,,AUSTRIA,NEUSIEDLER SEE,47.95,16.85,,,,,1.0,,,,,,,,,,1.0
89564,89964,11/6/1944,ETO,USA,B24,,,,,AUSTRIA,47 20 N 014 40 E,47.33,14.67,,,,,2.0,,,,,,,,,,2.0
89630,90030,4/16/1945,ETO,USA,B26,,,,,GERMANY,GUNZENHAUSEN,49.12,10.78,12.0,,,,60.0,,,,,,,,,,60.0
89804,90204,5/1/1944,CBI,GREAT BRITAIN,WELL,,,,,BURMA,WETLET,22.333333,95.75,,4.0,250 LB GP (GP-M57),,0.5,,,,,,,,,,0.5
89808,90208,5/1/1944,PTO,NEW ZEALAND,TBF AVENGER,ESPIRITU SANTO,NEW HEBRIDES,-15.25,166.833333,,"""HOSPITAL RIDGE, RABAUL""",-4.191286,152.162657,0.0,1.0,2000 LB GP (GP-M34/M66),2000,1.0,,,,0.0,,,,0.0,2000.0,1.0
89820,90220,5/1/1944,ETO,USA,A20,,,,,BELGIUM,MONTEGNEE,50.63,5.52,120.0,,,,14.0,,,,,,,,,,14.0
89839,90239,5/1/1944,ETO,USA,B24,,,,,FRANCE,MIMOYECQUES,50.85,1.77,199.0,,,,35.0,,,,,,,,,,35.0
89895,90295,5/1/1944,ETO,,B26,,,,,BELGIUM,MONCEAU SUR SAMBRE,50.42,4.38,115.0,,,,66.0,,,,,,,,,,66.0
90075,90475,6/26/1941,ETO,GREAT BRITAIN,WHIT,,,,,HOLLAND OR NETHERLANDS,VLAARDINGEN,51.9,4.35,,,,,1.0,,,,,,,,,,1.0
90078,90478,6/26/1941,ETO,GREAT BRITAIN,WELL,,,,,HOLLAND OR NETHERLANDS,WALCHEREN,51.53,3.58,,,,,1.0,,,,,,,,,,1.0
90096,90496,6/27/1941,,GREAT BRITAIN,BLEN,,,,,SYRIA,DAMASCUS,33.51,36.29,,5.0,250 LB GP (GP-M57),,,,,,0.0,,,,0.0,,0.625
90136,90536,4/16/1945,ETO,,B26,,,,,GERMANY,HOCHZOLL,48.35,10.92,10.0,,,,39.0,,,,,,,,,,39.0
90212,90612,5/1/1944,ETO,GREAT BRITAIN,HVY,,,,,FRANCE,CHAMBLY,49.17,2.23,75.0,,,,450.0,,,,,,,,,,450.0
90216,90616,5/1/1944,ETO,,B26,,,,,FRANCE,ECLIMEUX,50.4,2.18,12.0,,,,74.0,,,,,,,,,,74.0
90231,90631,5/1/1944,ETO,GREAT BRITAIN,HVY,,,,,BELGIUM,ST GHISLAIN,50.43,3.82,,,,,436.0,,,,,,,,,,436.0
90236,90636,5/1/1944,ETO,,B17,,,,,GERMANY,VELLETRI,41.68,12.78,,,,,3.0,,,,,,,,,,3.0
90240,90640,5/1/1944,MTO,USA,B26,,,,,ITALY,CASTELLARE,43.92,10.93,97.0,,,,24.0,,,,,,,,,,24.0
90259,90659,5/1/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,ALESANDRIA M/Y,44.9,8.65,,,,,,,,,0.0,,,,0.0,,75.17
90268,90668,5/1/1944,PTO,USA,P39,,,,,BISMARK ARCHIPELAGO,VUNAKAMBI,-4.283333333,152.06666669999998,50.0,,,,,,500 LB INCENDIARY,,3.0,,,,,,3.0
90269,90669,5/1/1944,PTO,USA,P39,,,,,SOLOMON ISLANDS,HANGORAI RIVER,-6.716666667,155.35,20.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
90271,90671,2/28/1944,PTO,USA,P70,,,,,BISMARK ARCHIPELAGO,MURIK,-3.75,144.16666669999998,2.0,,250 LB GP (GP-M57),,1.0,,,,,,,,,,1.0
90395,90795,11/6/1944,MTO,USA,B25,,,,,ITALY,DOMEGLIARA,45.53,10.85,109.0,,,,36.0,,,,,,,,,,36.0
90397,90797,11/6/1944,MTO,USA,B26,,,,,ITALY,MARCO,45.83,11.02,108.0,,,,36.0,,,,,,,,,,36.0
90426,90826,6/27/1941,ETO,GREAT BRITAIN,WHIT,,,,,GERMANY,BALTRUM,53.73,7.42,,,,,1.0,,,,,,,,,,1.0
90492,90895,6/28/1941,,GREAT BRITAIN,BLEN,,,,,SYRIA,DEIR-EZ-ZOR,35.33,40.15,,,,,,,,,0.0,,,,0.0,,0.49
90512,90915,4/16/1945,ETO,,B26,,,,,GERMANY,ZERBST,51.97,12.08,13.0,,,,58.0,,,,,,,,,,58.0
90599,91002,5/2/1944,PTO,USA,P40,,,,,FRENCH INDO CHINA,NA CHAM,22.05,106.61666670000001,15.0,4.0,500 LB GP (GP-M43/M64),,1.0,,,,,,,,,,1.0
90627,91030,5/2/1944,ETO,,B26,,,,,FRANCE,BUSIGNY,50.03,3.47,120.0,,,,72.0,,,,,,,,,,72.0
90674,91077,5/2/1944,MTO,USA,A20,,,,,ITALY,MORICONE,42.12,12.77,10.0,,,,1.0,,,,,,,,9.0,,10.0
90676,91079,5/2/1944,MTO,USA,B25,,,,,ITALY,ACQUAVIVA,40.9,16.85,4.0,,,,8.0,,,,,,,,,,8.0
